iter	Passed	Remaining
820	22942	5002
821	22968	4973
822	22996	4945
823	23025	4918
824	23052	4889
825	23080	4861
826	23107	4833
827	23135	4805
828	23163	4777
829	23191	4749
830	23218	4722
831	23247	4694
832	23273	4665
833	23300	4637
834	23325	4609
835	23351	4580
836	23377	4552
837	23402	4524
838	23429	4496
839	23455	4467
840	23484	4439
841	23512	4412
842	23540	4384
843	23569	4356
844	23596	4328
845	23625	4300
846	23653	4272
847	23682	4245
848	23708	4216
849	23733	4188
850	23761	4160
851	23787	4132
852	23813	4103
853	23838	4075
854	23864	4047
855	23889	4018
856	23916	3990
857	23942	3962
858	23967	3934
859	23993	3905
860	24020	3877
861	24047	3849
862	24073	3821
863	24100	3793
864	24125	3765
865	24151	3737
866	24176	3708
867	24203	3680
868	24230	3652
869	24255	3624
870	24282	3596
871	24309	3568
872	24337	3540
873	24365	3512
874	24394	3484
875	24421	3456
876	24449	3429
877	24476	3401
878	24502	3372
879	24528	3344
880	24556	3316
881	24583	3288
882	24609	3260
883	24636	3232
884	24666	3205
885	24695	3177
886	24723	3149
887	24753	3122
888	24786	3094
889	24815	3067
890	24845	3039
891	24877	3012
892	24908	2984
893	24939	2957
894	24970	2929
895	25001	2902
896	25033	2874
897	25068	2847
898	25100	2819
899	25130	2792
900	25160	2764
901	25189	2736
902	25220	2709
903	25248	2681
904	25275	2653
905	25303	2625
906	25330	2597
907	25357	2569
908	25385	2541
909	25411	2513
910	25438	2485
911	25465	2457
912	25493	2429
913	25520	2401
914	25548	2373
915	25576	2345
916	25605	2317
917	25633	2289
918	25662	2261
919	25690	2233
920	25718	2206
921	25746	2178
922	25773	2150
923	25798	2121
924	25824	2093
925	25850	2065
926	25876	2037
927	25903	2009
928	25932	1981
929	25961	1954
930	25991	1926
931	26020	1898
932	26048	1870
933	26077	1842
934	26106	1814
935	26133	1786
936	26157	1758
937	26183	1730
938	26210	1702
939	26238	1674
940	26263	1646
941	26289	1618
942	26315	1590
943	26344	1562
944	26372	1534
945	26402	1507
946	26431	1479
947	26460	1451
948	26489	1423
949	26518	1395
950	26544	1367
951	26570	1339
952	26596	1311
953	26621	1283
954	26648	1255
955	26674	1227
956	26701	1199
957	26727	1171
958	26756	1143
959	26785	1116
960	26814	1088
961	26842	1060
962	26871	1032
963	26900	1004
964	26930	976
965	26958	948
966	26986	920
967	27015	893
968	27042	865
969	27071	837
970	27098	809
971	27124	781
972	27151	753
973	27177	725
974	27215	697
975	27244	669
976	27274	642
977	27303	614
978	27332	586
979	27359	558
980	27385	530
981	27410	502
982	27437	474
983	27466	446
984	27494	418
985	27521	390
986	27549	362
987	27577	334
988	27605	307
989	27633	279
990	27661	251
991	27691	223
992	27720	195
993	27750	167
994	27780	139
995	27806	111
996	27833	83
997	27860	55
998	27889	27
999	27918	0
